Voltage,Current,Power
0.491752,2.2476363636363637,1.1052796770909092
0.536,2.237,1.199032
0.57,2.266,1.29162
0.545,2.147,1.170115
0.528,2.081,1.098768
0.57,2.279,1.29903
0.507,0.637,0.322959
0.573,1.92,1.1001599999999998
0.484923,2.182853846153846,1.0585160356384613
0.517,2.313,1.195821
0.545,2.148,1.1706600000000003
0.569,2.002,1.1391379999999998
0.598,2.012,1.203176
0.55,2.35,1.2925000000000002
0.546,2.279,1.244334
0.558,2.0925000000000002,1.1676150000000003
0.537,2.173,1.1669010000000002
0.52248,2.124433333333333,1.109973928
0.518,2.123,1.099714
0.551,0.595,0.327845
0.599,1.988,1.190812
0.517,2.397,1.2392489999999998
0.532,2.299,1.223068
0.528,2.302,1.215456
0.48663,2.0965000000000003,1.020219795
0.569,2.179,1.2398509999999998
0.483,2.272,1.097376
0.546,2.296,1.253616
0.505,0.647,0.326735
0.558,2.26,1.26108
0.58,2.276,1.3200799999999997
0.520773,2.2889393939393945,1.1920178350000004
0.565,2.25,1.2712499999999998
0.509,0.649,0.330341
0.56,2.352,1.31712
0.579,0.638,0.369402
0.536,2.072,1.110592
0.53,2.235,1.18455
0.517,2.274,1.175658
0.51,2.384,1.21584
0.55,2.376,1.3068
0.544,2.155,1.17232
0.508823,2.15812,1.09810109276
0.559,2.216,1.2387440000000003
0.558,2.261,1.2616380000000003
0.559,2.337,1.3063830000000003
0.565,1.966,1.11079
0.58,1.986,1.15188
0.537,2.127,1.142199
0.509,2.345,1.193605
0.698,0.0165,0.011517
0.51053,2.204251282051282,1.125336407025641
0.539,2.309,1.2445510000000002
0.573,1.982,1.135686
0.578,1.97,1.13866
0.481,2.178,1.047618
0.516,2.097,1.082052
0.535,2.334,1.24869
0.51,2.208,1.1260800000000002
0.576,1.951,1.1237759999999999
0.513,2.285,1.1722050000000002
0.555,2.201,1.2215550000000002
0.583,1.811,1.055813
0.527,2.236,1.1783720000000002
0.584,2.043,1.193112
0.507116,2.2277822222222228,1.1297440094044449
0.549,2.228,1.2231720000000001
0.554,2.406,1.3329240000000002
0.511,2.459,1.2565490000000001
0.536,2.147,1.150792
0.554,2.26,1.25204
0.565,2.225,1.2571249999999998
0.534,2.252,1.2025679999999999
0.562,2.27,1.27574
0.473,2.352,1.112496
0.516,2.162,1.115592
0.547,2.305,1.2608350000000002
0.557,2.365,1.3173050000000002
0.519066,2.0220914285714287,1.0495989094628573
0.608,1.966,1.195328
0.54,0.583,0.31482
0.518,0.619,0.320642
